datetime,open,high,low,close,volume,rsi,stoch_rsi,fast_k,fast_d,macd,macdsignal,macdhist
2017-05-29 02:00:00,13.88,15.232,13.022,14.699,342657.55642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-30 02:00:00,14.698,16.198,14.09,15.426,278813.094956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31 02:00:00,15.573,15.6,13.97,15.116,204319.763686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01 02:00:00,14.983,15.38,14.1,14.349,170254.995453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-02 02:00:00,14.26,15.091,14.259,14.899,114037.83257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-03 02:00:00,14.859,15.08,14.076,14.154,73977.4816108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-04 02:00:00,14.15,15.48,14.0,15.402,153502.246809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-05 02:00:00,15.421,15.421,14.64,15.125,102910.301357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-06 02:00:00,15.125,15.775,14.489,15.362,178102.046285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-07 02:00:00,15.363,16.699,14.963,15.25,159177.037524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08 02:00:00,15.25,15.75,14.9,15.4,47441.9520065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-09 02:00:00,15.399,15.95,15.18,15.42,41917.0326245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-10 02:00:00,15.531,16.98,15.045,16.98,229826.783226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-11 02:00:00,16.98,20.082,15.3,19.135,282326.470326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-12 02:00:00,19.108,19.9,14.6,16.919,381977.47224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-13 02:00:00,16.919,18.431,16.858,17.896,100657.874616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-14 02:00:00,17.77,18.469,15.14,15.99,155815.976868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-15 02:00:00,15.982,16.149,12.5,15.344,218457.688854,52.2084503184,100.0,0.0,0.0,0.0,0.0,0.0
2017-06-16 02:00:00,15.21,15.979,14.569,15.416,131216.755635,52.4575087707,100.0,0.0,0.0,0.0,0.0,0.0
2017-06-17 02:00:00,15.406,20.089,15.05,19.543,162227.670419,63.9113612239,100.0,100.0,0.0,0.0,0.0,0.0
