datetime,open,high,low,close,volume,rsi,macd,macdsignal,macdhist,fastk,fastd
2017-05-07 02:00:00,85.18,86.49,71.11,82.49,101028.958054,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-08 02:00:00,82.5,83.0,76.73,78.77,151339.027656,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-09 02:00:00,78.9,80.23,67.25,79.42,250752.122502,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-10 02:00:00,79.46,83.0,76.96,80.39,97503.2165904,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-11 02:00:00,80.38,82.95,79.0,81.33,62380.6955226,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-12 02:00:00,81.1,83.15,77.0,78.21,96944.4106812,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-13 02:00:00,78.2,81.1,76.0,80.74,51453.6090347,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-14 02:00:00,80.74,82.26,80.0,81.3,42907.5117318,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-15 02:00:00,81.3,85.99,81.17,83.65,101629.988602,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-16 02:00:00,83.38,84.25,79.1,79.75,80400.3349865,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-17 02:00:00,79.75,80.49,75.7,78.82,82275.6646969,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-18 02:00:00,78.82,86.59,78.81,86.14,162480.272946,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-19 02:00:00,86.04,115.4,84.6,110.85,304672.952891,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-20 02:00:00,110.79,114.49,107.0,108.19,113418.187655,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-21 02:00:00,108.19,131.49,107.51,130.3,180243.999215,81.2606250817,0.0,0.0,0.0,0.0,0.0
2017-05-22 02:00:00,130.3,157.86,120.01,137.12,390903.808415,82.9027432337,0.0,0.0,0.0,0.0,0.0
2017-05-23 02:00:00,137.0,156.56,129.1,148.88,154693.526598,85.2955409441,0.0,0.0,0.0,0.0,0.0
2017-05-24 02:00:00,148.88,389.01,94.97,163.19,248573.172942,87.5743842557,0.0,0.0,0.0,0.0,0.0
2017-05-25 02:00:00,163.19,182.39,139.5,147.55,231131.370106,74.064350618,0.0,0.0,0.0,0.0,66.6666666667
2017-05-26 02:00:00,147.67,171.0,129.69,141.45,227648.800438,69.5572279968,0.0,0.0,0.0,0.0,33.3333333333
2017-05-27 02:00:00,141.45,148.97,101.0,135.9,485515.975926,65.6431676627,0.0,0.0,0.0,0.0,-4.73695157173e-15
2017-05-28 02:00:00,136.27,160.2,135.95,149.19,214564.31079,69.996955459,0.0,0.0,0.0,100.0,33.3333333333
2017-05-29 02:00:00,149.19,177.49,143.79,174.99,238070.192295,76.2808932871,0.0,0.0,0.0,100.0,66.6666666667
2017-05-30 02:00:00,174.67,205.0,166.0,199.97,373694.149537,80.5323478497,0.0,0.0,0.0,100.0,100.0
2017-05-31 02:00:00,199.97,211.97,188.37,202.5,256847.466264,80.9056469403,0.0,0.0,0.0,100.0,100.0
2017-06-01 02:00:00,202.5,208.2,185.84,194.0,182961.563201,75.6566813082,0.0,0.0,0.0,0.0,66.6666666667
2017-06-02 02:00:00,194.85,203.0,193.7,198.14,89589.1406482,76.4578199323,0.0,0.0,0.0,15.262790428,38.4209301427
2017-06-03 02:00:00,198.01,200.9,195.2,199.65,55066.4848675,76.7582599743,0.0,0.0,0.0,100.0,38.4209301427
2017-06-04 02:00:00,199.94,223.45,199.02,218.74,147315.444006,80.1987304621,0.0,0.0,0.0,100.0,71.754263476
2017-06-05 02:00:00,218.56,221.93,214.5,219.78,70567.2771051,80.3692204337,0.0,0.0,0.0,100.0,100.0
2017-06-06 02:00:00,219.77,237.97,216.2,234.2,172308.226963,82.6055376948,0.0,0.0,0.0,100.0,100.0
2017-06-07 02:00:00,234.2,236.0,222.51,228.35,96387.0869045,78.6891471194,0.0,0.0,0.0,0.0,66.6666666667
2017-06-08 02:00:00,228.48,233.89,223.71,231.89,67413.7956009,79.3278438463,0.0,0.0,0.0,16.308300069,38.7694333563
2017-06-09 02:00:00,231.89,252.65,231.5,251.0,105850.662133,82.3952171927,42.2309240317,41.2949684454,0.935955586306,100.0,38.7694333563
2017-06-10 02:00:00,251.0,296.5,251.0,290.8,158873.130134,86.7911643826,45.4997234672,42.1359194498,3.36380401744,100.0,72.1027666897
2017-06-11 02:00:00,290.79,313.47,275.0,298.03,152539.551154,87.4063596558,48.1189854356,43.332532647,4.78645278864,100.0,100.0
2017-06-12 02:00:00,298.03,351.49,276.29,342.96,294931.909217,90.3989642898,53.2069087962,45.3074078768,7.89950091936,100.0,100.0
2017-06-13 02:00:00,342.77,350.0,318.0,343.0,162175.77243,90.4011511724,56.5900178815,47.5639298777,9.02608800379,100.0,100.0
2017-06-14 02:00:00,343.0,347.4,291.01,309.69,187260.804289,75.0671165399,55.9384934569,49.2388425936,6.69965086333,0.0,66.6666666667
2017-06-15 02:00:00,309.6,315.0,250.0,308.46,397999.681035,74.5641630931,54.6924444808,50.329562971,4.3628815098,0.0,33.3333333333
2017-06-16 02:00:00,308.05,324.5,286.01,316.49,136539.859684,75.7084335697,53.733489363,51.0103482494,2.72314111361,100.0,33.3333333333
2017-06-17 02:00:00,316.49,328.79,305.1,328.04,75672.9291813,77.290897276,53.291191315,51.4665168626,1.8246744525,100.0,66.6666666667
2017-06-18 02:00:00,328.04,338.2,304.0,310.59,87617.0494667,69.8837254901,50.9453316898,51.362279828,-0.416948138188,0.0,66.6666666667
2017-06-19 02:00:00,310.59,320.88,306.8,315.89,87785.5620878,70.7990726395,48.9496259243,50.8797490473,-1.93012312297,12.3575795984,37.4525265328
2017-06-20 02:00:00,315.56,328.95,297.0,313.1,134255.399887,69.5998334731,46.6056441886,50.0249280755,-3.4192838869,0.0,4.11919319946
2017-06-21 02:00:00,313.1,317.22,258.32,288.44,228437.04117,59.9361896042,42.2708933224,48.4741211249,-6.20322780254,0.0,4.11919319946
2017-06-22 02:00:00,288.44,295.0,276.0,285.44,110276.187795,58.8653962822,38.1536851699,46.4100339339,-8.256348764,0.0,-5.92118946467e-16
2017-06-23 02:00:00,286.38,298.0,282.98,291.39,71291.8250618,60.3773565051,34.9677963306,44.1215864132,-9.15379008266,100.0,33.3333333333
2017-06-24 02:00:00,291.49,294.93,268.12,271.0,69686.3996637,53.1654880526,30.4466834641,41.3866058234,-10.9399223593,0.0,33.3333333333
2017-06-25 02:00:00,271.0,277.42,223.25,246.11,201311.690739,45.9502030404,24.5720032016,38.023685299,-13.4516820975,0.0,33.3333333333
2017-06-26 02:00:00,246.12,257.0,186.71,224.17,418349.881683,40.7060104167,17.9391112215,34.0067704835,-16.067659262,0.0,0.0
2017-06-27 02:00:00,225.0,248.0,187.0,248.0,406262.316562,47.6892118057,14.4389353258,30.093203452,-15.6542681262,100.0,33.3333333333
2017-06-28 02:00:00,248.0,284.0,227.0,278.09,262587.026284,54.9103203431,13.9324278824,26.8610483381,-12.9286204557,100.0,66.6666666667
2017-06-29 02:00:00,277.46,283.0,250.21,255.92,170131.819845,49.4896254367,11.6082704509,23.8104927606,-12.2022223097,24.9326487989,74.9775495996
2017-06-30 02:00:00,256.49,268.0,235.35,245.2,143968.649164,47.0699426662,8.79990470882,20.8083751503,-12.0084704415,0.0,41.6442162663
2017-07-01 02:00:00,245.2,247.0,219.73,227.84,147452.518624,43.3717398245,5.11449103957,17.6695983281,-12.5551072886,0.0,8.31088293296
2017-07-02 02:00:00,228.46,258.58,221.0,249.56,159510.337201,48.792671813,3.9014234521,14.9159633529,-11.0145399008,100.0,33.3333333333
2017-07-03 02:00:00,250.39,251.0,237.5,243.8,93811.4661574,47.4942112452,2.44706652799,12.4221839879,-9.97511745995,76.0472817116,58.6824272372
2017-07-04 02:00:00,243.8,252.0,234.51,236.99,99914.8915159,45.9376983995,0.736478436136,10.0850428776,-9.34856444144,0.0,58.6824272372
2017-07-05 02:00:00,236.81,242.0,225.0,233.98,102399.576444,45.2320915837,-0.852232786102,7.89758774484,-8.74982053095,0.0,25.3490939039
2017-07-06 02:00:00,234.38,242.31,229.11,233.55,67993.3410425,45.1254560903,-2.12153949542,5.89376229679,-8.01530179221,0.0,0.0
2017-07-07 02:00:00,233.57,234.41,207.6,212.49,124100.704277,40.1348698384,-4.77183347571,3.76064314229,-8.532476618,0.0,0.0
2017-07-08 02:00:00,212.49,218.48,203.76,216.0,95390.7481565,41.3000711617,-6.51389475969,1.7057355619,-8.21963032158,23.3479848762,7.7826616254
2017-07-09 02:00:00,215.99,220.83,208.39,209.0,45123.6281065,39.6428974548,-8.36292972851,-0.307997496185,-8.05493223232,0.0,7.7826616254
2017-07-10 02:00:00,209.0,211.25,177.88,181.57,190655.811565,33.9022801773,-11.904447955,-2.62728758795,-9.27716036708,0.0,7.7826616254
2017-07-11 02:00:00,181.57,190.98,151.0,166.59,355993.710656,31.2415746656,-15.7384642527,-5.2495229209,-10.4889413318,0.0,0.0
2017-07-12 02:00:00,166.59,200.0,160.0,196.23,200399.075946,41.0927435841,-16.1985230129,-7.4393229393,-8.75920007361,100.0,33.3333333333
2017-07-13 02:00:00,196.9,198.0,170.1,180.34,174842.273422,37.9533728722,-17.6419477053,-9.4798478925,-8.16209981277,68.1319979599,56.04399932
2017-07-14 02:00:00,179.73,181.79,161.21,172.58,158704.681111,36.4873449759,-19.1908194989,-11.4220422138,-7.76877728514,0.0,56.04399932
2017-07-15 02:00:00,172.58,173.97,147.94,147.94,210234.271651,32.2301992812,-22.1512082888,-13.5678754288,-8.58333286004,0.0,22.7106659866
2017-07-16 02:00:00,147.77,149.47,117.36,136.03,478615.810756,30.3848079034,-25.1682512634,-15.8879505957,-9.28030066769,0.0,0.0
