datetime,open,high,low,close,volume,rsi,stoch_rsi,fast_k,fast_d,macd,macdsignal,macdhist,rsi_midpoint,is_bullish
2017-06-10 02:00:00,251.0,296.5,251.0,290.8,158873.130134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-11 02:00:00,290.79,313.47,275.0,298.03,152539.551154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-12 02:00:00,298.03,351.49,276.29,342.96,294931.909217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-13 02:00:00,342.77,350.0,318.0,343.0,162175.77243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-14 02:00:00,343.0,347.4,291.01,309.69,187260.804289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-15 02:00:00,309.6,315.0,250.0,308.46,397999.681035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-16 02:00:00,308.05,324.5,286.01,316.49,136539.859684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-17 02:00:00,316.49,328.79,305.1,328.04,75672.9291813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-18 02:00:00,328.04,338.2,304.0,310.59,87617.0494667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-19 02:00:00,310.59,320.88,306.8,315.89,87785.5620878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-20 02:00:00,315.56,328.95,297.0,313.1,134255.399887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-21 02:00:00,313.1,317.22,258.32,288.44,228437.04117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-22 02:00:00,288.44,295.0,276.0,285.44,110276.187795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-23 02:00:00,286.38,298.0,282.98,291.39,71291.8250618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-24 02:00:00,291.49,294.93,268.12,271.0,69686.3996637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-25 02:00:00,271.0,277.42,223.25,246.11,201311.690739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-26 02:00:00,246.12,257.0,186.71,224.17,418349.881683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-27 02:00:00,225.0,248.0,187.0,248.0,406262.316562,41.6575705598,100.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-28 02:00:00,248.0,284.0,227.0,278.09,262587.026284,48.1230975877,100.0,0.0,0.0,0.0,0.0,0.0,False,False
2017-06-29 02:00:00,277.46,283.0,250.21,255.92,170131.819845,44.2814811179,92.0171047535,97.3390349178,97.3390349178,0.0,0.0,0.0,False,False
2017-06-30 02:00:00,256.49,268.0,235.35,245.2,143968.649164,42.5369265099,88.3919129112,93.4696725549,93.4696725549,0.0,0.0,0.0,False,False
2017-07-01 02:00:00,245.2,247.0,219.73,227.84,147452.518624,39.8365284419,82.7804743228,87.7298306625,87.7298306625,0.0,0.0,0.0,False,False
2017-07-02 02:00:00,228.46,258.58,221.0,249.56,159510.337201,44.5187002643,92.5100471415,87.8941447919,87.8941447919,0.0,0.0,0.0,False,False
2017-07-03 02:00:00,250.39,251.0,237.5,243.8,93811.4661574,43.5634259794,90.5249831436,88.6051682026,88.6051682026,0.0,0.0,0.0,False,False
2017-07-04 02:00:00,243.8,252.0,234.51,236.99,99914.8915159,42.4199954198,88.1489296122,90.3946532991,90.3946532991,0.0,0.0,0.0,False,False
2017-07-05 02:00:00,236.81,242.0,225.0,233.98,102399.576444,41.9034766033,87.0756013305,88.5831713621,88.5831713621,0.0,0.0,0.0,False,False
2017-07-06 02:00:00,234.38,242.31,229.11,233.55,67993.3410425,41.8261739203,86.9149660288,87.3798323238,87.3798323238,0.0,0.0,0.0,False,False
2017-07-07 02:00:00,233.57,234.41,207.6,212.49,124100.704277,38.1626280347,79.3021022081,84.4308898558,84.4308898558,0.0,0.0,0.0,False,False
2017-07-08 02:00:00,212.49,218.48,203.76,216.0,95390.7481565,39.1071187835,81.2647579726,82.4939420698,82.4939420698,0.0,0.0,0.0,False,False
2017-07-09 02:00:00,215.99,220.83,208.39,209.0,45123.6281065,37.8811218643,78.7171311973,79.7613304593,79.7613304593,0.0,0.0,0.0,False,False
2017-07-10 02:00:00,209.0,211.25,177.88,181.57,190655.811565,33.5075796453,69.6288919977,76.5369270559,76.5369270559,0.0,0.0,0.0,False,False
