datetime,rsi,stoch_rsi,fast_k,fast_d
2017-08-09 02:00:00,0.0,0.0,0.0,0.0
2017-08-10 02:00:00,0.0,0.0,0.0,0.0
2017-08-11 02:00:00,0.0,0.0,0.0,0.0
2017-08-12 02:00:00,0.0,0.0,0.0,0.0
2017-08-13 02:00:00,0.0,0.0,0.0,0.0
2017-08-14 02:00:00,0.0,0.0,0.0,0.0
2017-08-15 02:00:00,0.0,0.0,0.0,0.0
2017-08-16 02:00:00,0.0,0.0,0.0,0.0
2017-08-17 02:00:00,0.0,0.0,0.0,0.0
2017-08-18 02:00:00,0.0,0.0,0.0,0.0
2017-08-19 02:00:00,0.0,0.0,0.0,0.0
2017-08-20 02:00:00,0.0,0.0,0.0,0.0
2017-08-21 02:00:00,0.0,0.0,0.0,0.0
2017-08-22 02:00:00,0.0,0.0,0.0,0.0
2017-08-23 02:00:00,0.0,0.0,0.0,0.0
2017-08-24 02:00:00,0.0,0.0,0.0,0.0
2017-08-25 02:00:00,0.0,0.0,0.0,0.0
2017-08-26 02:00:00,69.5260356994,100.0,0.0,0.0
2017-08-27 02:00:00,65.6522350213,94.4282733236,0.0,0.0
2017-08-28 02:00:00,66.239881113,95.273490638,96.5672546538,0.0
2017-08-29 02:00:00,66.4842171618,95.624921647,95.1088952028,0.0
2017-08-30 02:00:00,66.6199677997,95.8201731618,95.5728618156,95.7496705574
2017-08-31 02:00:00,64.7387480812,93.114395823,94.8531635439,95.1783068541
2017-09-01 02:00:00,65.6667307908,94.4491227354,94.4612305734,94.9624186443
2017-09-02 02:00:00,65.3714189731,94.0243727626,93.8626304403,94.3923415192
2017-09-03 02:00:00,56.8522019253,81.7710967602,90.0815307527,92.8017972555
2017-09-04 02:00:00,51.7869716539,74.4857248555,83.4270647928,89.1237419953
2017-09-05 02:00:00,50.4804478647,72.6065384814,76.287786699,83.2654607482
2017-09-06 02:00:00,50.1667786813,72.155384924,73.0825494203,77.5991336374
2017-09-07 02:00:00,54.7914575927,78.8071073542,74.5230102532,74.6311154575
2017-09-08 02:00:00,51.0484206175,73.4234594336,74.7953172373,74.1336256369
2017-09-09 02:00:00,50.3674891853,72.444068871,74.8915452196,74.7366242367
2017-09-10 02:00:00,50.3300041807,72.3901538099,72.7525607048,74.1464743872
2017-09-11 02:00:00,51.5489125433,74.1433220301,72.9925149036,73.545540276
2017-09-12 02:00:00,52.3086741795,11.0639344072,52.5324700824,66.0925152303
2017-09-13 02:00:00,51.4097993034,7.55489171832,30.9207160519,52.1485670126
2017-09-14 02:00:00,49.2240760725,0.0,6.20627537519,29.8864871698
2017-09-15 02:00:00,49.9460765484,4.15040796509,3.90176656114,13.6762526627
2017-09-16 02:00:00,50.1492619391,5.3184158711,3.15627461207,4.42143884946
2017-09-17 02:00:00,49.3559088904,0.801773315241,3.42353238381,3.49385785234
2017-09-18 02:00:00,49.2273187419,0.0197210814936,2.04663675595,2.87548125061
2017-09-19 02:00:00,47.9661476898,0.0,0.273831465578,1.91466686845
2017-09-20 02:00:00,46.6117163692,0.0,0.00657369383118,0.775680638452
2017-09-21 02:00:00,46.9971789748,4.71240587063,1.57080195688,0.617069038762
2017-09-22 02:00:00,47.329508183,8.77523865549,4.49588150871,2.02441905314
2017-09-23 02:00:00,47.1071767509,6.0571645011,6.51493634241,4.19387326933
2017-09-24 02:00:00,47.6934368336,13.2243849144,9.35226269032,6.78769351381
2017-09-25 02:00:00,50.9933351275,76.9115535725,32.0643676627,15.9771888985
2017-09-26 02:00:00,49.7182024353,54.5288585515,48.2215990128,29.8794097886
2017-09-27 02:00:00,56.0454556282,100.0,77.1468040413,52.4775902389
2017-09-28 02:00:00,61.569866999,100.0,84.8429528505,70.0704519682
2017-09-29 02:00:00,59.2758335498,84.663655916,94.8878853053,85.6258807324
2017-09-30 02:00:00,58.6544459671,80.509482061,88.3910459923,89.3739613827
2017-10-01 02:00:00,63.7367772032,100.0,88.3910459923,90.5566590967
2017-10-02 02:00:00,71.5475643757,100.0,93.503160687,90.0950842239
2017-10-03 02:00:00,68.2105583582,86.617635716,95.5392119053,92.4778061949
2017-10-04 02:00:00,61.7636702449,60.7637401049,82.460458607,90.5009437331
2017-10-05 02:00:00,62.3554429171,63.1369205642,70.1727654617,82.7241453247
2017-10-06 02:00:00,57.2518614455,42.6700751204,55.5235785965,69.3856008884
2017-10-07 02:00:00,57.1075548738,42.0913638141,49.2994531662,58.3319324081
2017-10-08 02:00:00,49.1640529152,8.82623186962,31.195890268,45.3396406769
2017-10-09 02:00:00,54.522935229,30.3422293946,27.0866083595,35.8606505979
2017-10-10 02:00:00,54.2353200407,29.1654265033,22.7779625892,27.0201537389
2017-10-11 02:00:00,54.1227334823,26.9525541749,28.8200700243,26.2282136576
2017-10-12 02:00:00,51.8226783194,11.8776064643,22.6651957142,24.7544094425
2017-10-13 02:00:00,51.9554605468,12.470820928,17.1003271891,22.8618643092
2017-10-14 02:00:00,51.8913311205,12.1843179524,12.1775817816,17.3143682283
2017-10-15 02:00:00,53.0379900904,17.3071020694,13.9874136499,14.4217742069
2017-10-16 02:00:00,50.4669820082,5.8209324988,11.7707841735,12.6452598683
2017-10-17 02:00:00,51.1685111325,8.95506596812,10.6943668454,12.1508548896
2017-10-18 02:00:00,49.9335644862,3.43785009924,6.07128285539,9.51214462478
2017-10-19 02:00:00,48.7433347006,0.0,4.13097202245,6.96554057442
2017-10-20 02:00:00,47.9715723377,0.0,1.14595003308,3.78273497031
2017-10-21 02:00:00,49.1841440289,8.43007926475,2.81002642158,2.69564949237
2017-10-22 02:00:00,49.1247645174,8.01725914721,5.48244613732,3.14614086399
2017-10-23 02:00:00,49.748989672,19.1526073555,11.8666485892,6.71970704935
2017-10-24 02:00:00,49.7481757918,19.4462220905,15.5386961977,10.9625969747
2017-10-25 02:00:00,50.3648095419,36.5303715259,25.0430669906,17.4828039258
2017-10-26 02:00:00,48.8749853393,13.7896956196,23.2554297453,21.2790643112
2017-10-27 02:00:00,48.0608991741,1.42609250271,17.2487198827,21.8490722062
2017-10-28 02:00:00,47.5275932119,0.0,5.0719293741,15.192026334
2017-10-29 02:00:00,47.835334495,5.58473899216,2.33694383162,8.21919769615
2017-10-30 01:00:00,52.1296337204,83.5155908003,29.7001099308,12.3696610455
2017-10-31 01:00:00,52.6908613711,93.7004769911,60.9336022612,30.9902186745
2017-11-01 01:00:00,52.7391041302,94.5759630978,90.5973436297,60.4103519406
2017-11-02 01:00:00,55.323220449,100.0,96.0921466963,82.5410308624
2017-11-03 01:00:00,58.772270024,100.0,98.1919876993,94.9604926751
2017-11-04 01:00:00,66.2177804681,100.0,100.0,98.0947114652
2017-11-05 01:00:00,60.4756429746,69.2772607634,89.7590869211,95.9836915401
2017-11-06 01:00:00,62.2727449949,78.8924775382,82.7232461005,90.8274443406
2017-11-07 01:00:00,69.6442087329,100.0,82.7232461005,85.0685263741
2017-11-08 01:00:00,72.682762669,100.0,92.9641591794,86.1368837935
2017-11-09 01:00:00,69.6657385715,88.0063455637,96.0021151879,90.5631734893
2017-11-10 01:00:00,65.4623020671,71.2963150011,86.4342201883,91.8001648519
2017-11-11 01:00:00,54.9911203724,29.6699538167,62.9908714605,81.8090689456
2017-11-12 01:00:00,51.6192763866,16.2657746419,39.0773478199,62.8341464896
2017-11-13 01:00:00,54.9535815487,29.5207247538,25.1521510708,42.4067901171
2017-11-14 01:00:00,47.5996794538,0.28656631387,15.3576885699,26.5290624869
2017-11-15 01:00:00,47.907528298,1.2273166005,10.3448692227,16.9515696211
2017-11-16 01:00:00,48.7212470796,4.47141053673,1.99509781703,9.23255186988
2017-11-17 01:00:00,46.6062731598,0.0,1.89957571241,4.74651425073
2017-11-18 01:00:00,49.1712775887,9.8364637157,4.76929141748,2.88798831564
2017-11-19 01:00:00,46.6964629298,0.345866225536,3.39410998041,3.35432570343
2017-11-20 01:00:00,45.6217973292,0.0,3.39410998041,3.85250379277
2017-11-21 01:00:00,45.3036310901,0.0,0.115288741845,2.30116956756
2017-11-22 01:00:00,43.4671731744,0.0,0.0,1.16979957409
2017-11-23 01:00:00,39.952013413,0.0,0.0,0.0384295806151
2017-11-24 01:00:00,37.8932239102,0.0,0.0,0.0
2017-11-25 01:00:00,43.8249539648,17.0503268113,5.68344227043,1.89448075681
2017-11-26 01:00:00,42.839249353,15.5669939742,10.8724402618,5.51862751076
2017-11-27 01:00:00,44.4679834246,23.8483110569,18.8218772808,11.7925866044
2017-11-28 01:00:00,44.6150997353,39.3140515262,26.2431188524,18.6458121317
2017-11-29 01:00:00,45.2638195951,43.2030549479,35.455139177,26.8400451034
2017-11-30 01:00:00,50.5287552329,74.0636954421,52.1936006387,37.9639528894
2017-12-01 01:00:00,49.7843785918,94.1088615733,70.4585373211,52.7024257123
2017-12-02 01:00:00,50.5779680683,100.0,89.3908523385,70.6809967661
2017-12-03 01:00:00,55.8745030971,100.0,98.0362871911,85.9618922836
2017-12-04 01:00:00,61.2669482748,100.0,100.0,95.8090465099
2017-12-05 01:00:00,63.4722261151,100.0,100.0,99.3454290637
2017-12-06 01:00:00,67.1384002327,100.0,100.0,100.0
2017-12-07 01:00:00,70.1796971976,100.0,100.0,100.0
2017-12-08 01:00:00,66.2995793628,87.9822184349,95.9940728116,98.6646909372
2017-12-09 01:00:00,58.1604838111,62.7732230784,83.5851471711,93.1930733276
2017-12-10 01:00:00,57.1378534805,59.6058584626,70.1204333253,83.2332177694
2017-12-11 01:00:00,52.0740661907,43.9219302593,55.4336706001,69.7130836989
2017-12-12 01:00:00,41.813984079,0.0,34.5092629073,53.3544556109
2017-12-13 01:00:00,40.6790564224,0.0,14.6406434198,34.8611923091
2017-12-14 01:00:00,47.400365463,22.7836035557,7.59453451856,18.9148136152
2017-12-15 01:00:00,58.7473899848,61.2472579835,28.0102871797,16.7484883727
2017-12-16 01:00:00,62.4225818761,73.7052649785,52.5787088392,29.3945101792
2017-12-17 01:00:00,70.4379590966,100.0,78.317507654,52.9688345577
2017-12-18 01:00:00,63.8415772192,77.8339209963,83.846395325,71.5808706061
2017-12-19 01:00:00,59.9232581157,64.6670406633,80.8336538865,80.9991856218
2017-12-20 01:00:00,55.8768368834,51.0696937566,64.5235518054,76.401200339
