,period,fast_k_period,fast_d_period,selling_rsi,selling_stoch_rsi,buying_rsi,busying_stoch_rsi,buying_confirmed_pullish,buying_rsi_pullish,buying_macdhist,balance,profit,recorded_transaction,recommendation
20,17,3,3,70,70,25,5,20,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
21,17,3,3,70,70,25,5,20,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
22,17,3,3,70,70,25,5,20,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
23,17,3,3,70,70,25,5,20,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
24,17,3,3,70,70,25,5,20,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
25,17,3,3,70,70,25,5,20,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
26,17,3,3,70,70,25,5,20,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
27,17,3,3,70,70,25,10,10,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
28,17,3,3,70,70,25,10,10,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
29,17,3,3,70,70,25,10,10,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
30,17,3,3,70,70,25,10,10,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
31,17,3,3,70,70,25,10,10,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
32,17,3,3,70,70,25,10,10,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
33,17,3,3,70,70,25,10,10,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
34,17,3,3,70,70,25,10,10,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
35,17,3,3,70,70,25,10,10,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
36,17,3,3,70,70,25,10,15,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
37,17,3,3,70,70,25,10,15,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
38,17,3,3,70,70,25,10,15,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
39,17,3,3,70,70,25,10,15,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
40,17,3,3,70,70,25,10,15,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
41,17,3,3,70,70,25,10,15,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
42,17,3,3,70,70,25,10,15,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
43,17,3,3,70,70,25,10,15,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
44,17,3,3,70,70,25,10,15,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
45,17,3,3,70,70,25,10,20,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
46,17,3,3,70,70,25,10,20,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
47,17,3,3,70,70,25,10,20,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
48,17,3,3,70,70,25,10,20,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
49,17,3,3,70,70,25,10,20,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
50,17,3,3,70,70,25,10,20,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
51,17,3,3,70,70,25,10,20,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
52,17,3,3,70,70,25,10,20,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
53,17,3,3,70,70,25,10,20,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
54,17,3,3,70,70,25,15,10,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
55,17,3,3,70,70,25,15,10,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
56,17,3,3,70,70,25,15,10,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
57,17,3,3,70,70,25,15,10,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
58,17,3,3,70,70,25,15,10,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
59,17,3,3,70,70,25,15,10,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
60,17,3,3,70,70,25,15,10,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
61,17,3,3,70,70,25,15,10,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
62,17,3,3,70,70,25,15,10,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
63,17,3,3,70,70,25,15,15,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
64,17,3,3,70,70,25,15,15,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
65,17,3,3,70,70,25,15,15,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
66,17,3,3,70,70,25,15,15,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
67,17,3,3,70,70,25,15,15,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
68,17,3,3,70,70,25,15,15,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
69,17,3,3,70,70,25,15,15,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
70,17,3,3,70,70,25,15,15,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
71,17,3,3,70,70,25,15,15,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
72,17,3,3,70,70,25,15,20,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
73,17,3,3,70,70,25,15,20,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
74,17,3,3,70,70,25,15,20,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
75,17,3,3,70,70,25,15,20,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
76,17,3,3,70,70,25,15,20,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
77,17,3,3,70,70,25,15,20,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
78,17,3,3,70,70,25,15,20,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
79,17,3,3,70,70,25,15,20,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
80,17,3,3,70,70,25,15,20,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
81,17,3,3,70,70,25,20,10,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
82,17,3,3,70,70,25,20,10,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
83,17,3,3,70,70,25,20,10,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
84,17,3,3,70,70,25,20,10,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
85,17,3,3,70,70,25,20,10,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
86,17,3,3,70,70,25,20,10,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
87,17,3,3,70,70,25,20,10,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
88,17,3,3,70,70,25,20,10,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
89,17,3,3,70,70,25,20,10,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
90,17,3,3,70,70,25,20,15,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
91,17,3,3,70,70,25,20,15,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
92,17,3,3,70,70,25,20,15,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
93,17,3,3,70,70,25,20,15,55,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
94,17,3,3,70,70,25,20,15,55,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
95,17,3,3,70,70,25,20,15,55,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
96,17,3,3,70,70,25,20,15,60,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
97,17,3,3,70,70,25,20,15,60,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
98,17,3,3,70,70,25,20,15,60,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
99,17,3,3,70,70,25,20,20,50,1,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
100,17,3,3,70,70,25,20,20,50,5,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
101,17,3,3,70,70,25,20,20,50,10,8852.94309224,77.0588618448,"[('buying', Timestamp('2018-03-30 02:00:00'), 318.41000000000003, 15.545994158474921, 0), ('selling', Timestamp('2018-04-24 02:00:00'), 575.22000000000003, 0, 8852.9430922395641)]",
